"id","AC","DE","GA","TP","ML"
"DUF3700","PF12481.11","Aluminium induced protein","27; 27;","Domain",228
"DUF3701","PF12482.11","Phage integrase protein","26.9; 26.9;","Family",93
"DUF3703","PF12487.11","Protein of unknown function (DUF3703)","22.3; 22.3;","Family",109
"DUF3704","PF12488.11","Protein of unknown function (DUF3704)","21.9; 21.9;","Family",27
"DUF3707","PF12499.11","Pherophorin","24; 24;","Family",143
"DUF3708","PF12501.11","Phosphate ATP-binding cassette transporter","24.1; 24.1;","Family",166
"DUF3709","PF12493.11","Protein of unknown function (DUF3709)","22; 22;","Family",33
"DUF371","PF04027.16","Domain of unknown function (DUF371)","25; 25;","Family",133
"DUF3710","PF12502.11","Protein of unknown function (DUF3710)","25; 25;","Family",178
"DUF3712","PF12505.11","Protein of unknown function (DUF3712)","24.1; 24.1;","Family",125
"DUF3713","PF12506.11","Protein of unknown function (DUF3713)","22.9; 22.9;","Family",116
"DUF3715","PF12509.11","Protein of unknown function (DUF3715)","28.5; 28.5;","Family",151
"DUF3716","PF12511.11","Protein of unknown function (DUF3716)","22; 22;","Family",59
"DUF3717","PF12512.11","Protein of unknown function (DUF3717)","25; 25;","Family",68
"DUF3718","PF12514.11","Protein of unknown function (DUF3718)","22.5; 22.5;","Family",66
"DUF3719","PF12516.11","Protein of unknown function (DUF3719)","23; 23;","Family",66
"DUF3720","PF12517.11","Protein of unknown function (DUF3720)","25; 25;","Family",99
"DUF3721","PF12518.11","Protein of unknown function","27; 27;","Family",33
"DUF3723","PF12520.11","Protein of unknown function (DUF3723)","22; 22;","Family",508
"DUF3724","PF12521.11","Protein of unknown function (DUF3724)","22; 22;","Family",23
"DUF3725","PF12523.11","Protein of unknown function (DUF3725)","22.8; 22.8;","Family",74
"DUF3726","PF12525.11","Protein of unknown function (DUF3726)","22.1; 22.1;","Family",73
"DUF3727","PF12527.11","Protein of unknown function (DUF3727)","23.8; 23.8;","Family",97
"DUF3729","PF12526.11","Protein of unknown function (DUF3729)","25; 25;","Family",113
"DUF373","PF04123.16","Domain of unknown function (DUF373)","28.3; 28.3;","Family",335
"DUF3730","PF12530.11","Focadhesin/RST1, DUF3730","30.3; 30.3;","Domain",229
"DUF3731","PF12531.11","DNA-K related protein","25; 25;","Family",248
"DUF3732","PF12532.11","Protein of unknown function (DUF3732)","25; 25;","Family",187
"DUF3734","PF12536.11","Patatin phospholipase","22; 22;","Family",106
"DUF3736","PF12540.11","Protein of unknown function (DUF3736)","22.6; 22.6;","Family",132
"DUF3737","PF12541.11","Protein of unknown function (DUF3737)","23.9; 23.9;","Repeat",275
"DUF3738","PF12543.11","Protein of unknown function (DUF3738)","22; 22;","Family",189
"DUF3739","PF12545.11","Filamentous haemagglutinin family outer membrane protein","27; 27;","Family",110
"DUF374","PF04028.16","Domain of unknown function (DUF374)","26.8; 26.8;","Family",69
"DUF3740","PF12548.11","Sulfatase protein","25; 25;","Family",147
"DUF3741","PF12552.11","Protein of unknown function (DUF3741)","24; 24;","Family",45
"DUF3742","PF12553.11","Protein of unknown function (DUF3742)","27.2; 27.2;","Family",121
"DUF3744","PF12558.11","ATP-binding cassette cobalt transporter","22.5; 22.5;","Family",73
"DUF3746","PF12562.11","Protein of unknown function (DUF3746)","23; 23;","Family",37
"DUF3747","PF12565.11","Protein of unknown function (DUF3747)","25; 25;","Family",175
"DUF3748","PF12566.11","Protein of unknown function (DUF3748)","27; 27;","Repeat",123
"DUF3750","PF12570.11","Protein of unknown function (DUF3750)","25; 25;","Family",128
"DUF3751","PF12571.11","Phage tail-collar fibre protein","23; 23;","Family",150
"DUF3752","PF12572.11","Protein of unknown function (DUF3752)","23.7; 23.7;","Family",154
"DUF3754","PF12576.11","Protein of unknown function (DUF3754)","27; 27;","Family",140
"DUF3755","PF12579.11","Protein of unknown function (DUF3755)","25; 25;","Family",34
"DUF3756","PF12581.11","Protein of unknown function (DUF3756)","25; 25;","Family",41
"DUF3757","PF12582.11","Protein of unknown function (DUF3757)","23; 23;","Family",120
"DUF3759","PF12585.11","Protein of unknown function (DUF3759)","25; 25;","Family",92
"DUF3760","PF12586.11","Protein of unknown function (DUF3760)","26.6; 26.6;","Family",44
"DUF3761","PF12587.11","Protein of unknown function (DUF3761)","29; 29;","Family",88
"DUF3762","PF12591.11","Protein of unknown function (DUF3762)","27; 27;","Family",80
"DUF3764","PF12594.11","Protein of unknown function (DUF3764)","24; 24;","Family",89
"DUF3768","PF12599.11","Protein of unknown function (DUF3768)","25; 25;","Family",83
"DUF3769","PF12600.11","Protein of unknown function (DUF3769)","20.5; 20.5;","Family",444
"DUF3770","PF12603.11","Protein of unknown function (DUF3770)","22; 22;","Family",235
"DUF3772","PF12607.11","Protein of unknown function (DUF3772)","25; 25;","Family",63
"DUF3774","PF12609.11","Wound-induced protein","27.3; 27.3;","Family",74
"DUF3775","PF12616.11","Protein of unknown function (DUF3775)","27; 27;","Family",73
"DUF3776","PF12618.11","Protein of unknown function (DUF3776)","25; 25;","Family",110
"DUF3778","PF12620.11","Protein of unknown function (DUF3778)","22.1; 22.1;","Family",52
"DUF378","PF04070.15","Domain of unknown function (DUF378)","25; 25;","Family",60
"DUF3780","PF12635.10","Protein of unknown function (DUF3780)","27; 27;","Family",184
"DUF3781","PF12636.10","Protein of unknown function (DUF3781)","27; 27;","Domain",72
"DUF3782","PF12644.10","Protein of unknown function (DUF3782)","24.4; 24.4;","Family",78
"DUF3783","PF12646.10","Domain of unknown function (DUF3783)","27; 27;","Domain",56
"DUF3784","PF12650.10","Domain of unknown function (DUF3784)","28.1; 28.1;","Domain",94
"DUF3785","PF12653.10","Protein of unknown function (DUF3785)","27; 27;","Domain",136
"DUF3786","PF12654.10","Domain of unknown function (DUF3786)","27; 27;","Domain",176
"DUF3787","PF12655.10","Domain of unknown function (DUF3787)","25; 25;","Domain",52
"DUF3788","PF12663.10","Protein of unknown function (DUF3788)","25; 25;","Family",127
"DUF3789","PF12664.10","Protein of unknown function (DUF3789)","22; 22;","Family",32
"DUF3791","PF12668.10","Protein of unknown function (DUF3791)","25; 25;","Family",60
"DUF3792","PF12670.10","Protein of unknown function (DUF3792)","31.3; 31.3;","Family",115
"DUF3793","PF12672.10","Protein of unknown function (DUF3793)","25.1; 25.1;","Domain",167
"DUF3794","PF12673.10","Domain of unknown function (DUF3794)","23.6; 23.6;","Domain",77
"DUF3795","PF12675.10","Protein of unknown function (DUF3795)","22.6; 22.6;","Family",85
"DUF3796","PF12676.10","Protein of unknown function (DUF3796)","24.8; 24.8;","Family",120
"DUF3797","PF12677.10","Domain of unknown function (DUF3797)","25.1; 25.1;","Family",48
"DUF3798","PF12683.10","Protein of unknown function (DUF3798)","24.6; 24.6;","Family",271
"DUF3799","PF12684.10","PDDEXK-like domain of unknown function (DUF3799)","26; 26;","Domain",232
"DUF3800","PF12686.10","Protein of unknown function (DUF3800)","21; 21;","Family",110
"DUF3801","PF12687.10","Protein of unknown function (DUF3801)","24.1; 24.1;","Family",182
"DUF3802","PF12290.11","Protein of unknown function (DUF3802)","26; 26;","Family",111
"DUF3804","PF12707.10","Protein of unknown function (DUF3804)","22.5; 22.5;","Family",128
"DUF3805","PF12712.10","Domain of unknown function (DUF3805)","22; 22;","Domain",152
"DUF3806","PF12713.10","Domain of unknown function (DUF3806)","21; 21;","Domain",86
"DUF3807","PF12720.10","Protein of unknown function (DUF3807)","25; 25;","Family",182
"DUF3809","PF12723.10","Protein of unknown function (DUF3809)","25; 25;","Family",137
"DUF3810","PF12725.10","Protein of unknown function (DUF3810)","28; 28;","Family",310
"DUF3811","PF11656.11","YjbD family (DUF3811)","23.5; 23.5;","Family",88
"DUF3813","PF12758.10","Protein of unknown function (DUF3813)","25; 25;","Family",63
"DUF3817","PF12823.10","Domain of unknown function (DUF3817)","27; 27;","Domain",83
"DUF3818","PF12825.10","Domain of unknown function in PX-proteins (DUF3818)","25; 25;","Domain",338
"DUF3819","PF12842.10","CCR4-Not complex, Not1 subunit, domain of unknown function DUF3819","27; 27;","Domain",144
"DUF382","PF04037.16","Domain of unknown function (DUF382)","26.7; 26.7;","Family",127
"DUF3821","PF12863.10","Domain of unknown function (DUF3821)","23; 23;","Domain",209
"DUF3822","PF12864.10","Protein of unknown function (DUF3822)","24.9; 24.9;","Family",241
"DUF3823","PF12866.10","Protein of unknown function (DUF3823) N-terminal domain","27; 27;","Domain",93
"DUF3823_C","PF18003.4","Domain of unknown function (DUF3823_C)","27; 27;","Domain",106
"DUF3824","PF12868.10","Domain of unknwon function (DUF3824)","22.7; 7.9;","Domain",148
"DUF3825","PF12873.10","Domain of unknown function (DUF3825)","27; 27;","Domain",240
"DUF3826","PF12875.10","Protein of unknown function (DUF3826)","25; 25;","Family",186
"DUF3827","PF12877.10","Domain of unknown function (DUF3827)","24; 24;","Family",679
"DUF3828","PF12883.10","Protein of unknown function (DUF3828)","26; 14;","Domain",122
"DUF3829","PF12889.10","Protein of unknown function (DUF3829)","26.8; 26.8;","Family",283
"DUF383","PF04063.17","Domain of unknown function (DUF383)","33.2; 33.2;","Family",188
"DUF3830","PF12903.10","Protein of unknown function (DUF3830)","26; 26;","Family",144
"DUF3833","PF12915.10","Protein of unknown function (DUF3833)","25; 25;","Domain",163
"DUF3834","PF12916.10","Protein of unknown function (DUF3834)","22; 22;","Family",201
"DUF3835","PF12927.10","Domain of unknown function (DUF3835)","21; 7.9;","Domain",78
"DUF3836","PF12930.10","Family of unknown function (DUF3836)","25; 25;","Family",127
"DUF3837","PF12939.10","Domain of unknown function (DUF3837)","25; 25;","Domain",101
"DUF3839","PF12943.10","Protein of unknown function (DUF3839)","22; 22;","Family",242
"DUF384","PF04064.16","Domain of unknown function (DUF384)","24.6; 24.6;","Family",55
"DUF3841","PF12952.10","Domain of unknown function (DUF3841)","27; 27;","Domain",180
"DUF3842","PF12953.10","Domain of unknown function (DUF3842)","28.5; 28.5;","Domain",130
"DUF3843","PF12954.10","Protein of unknown function (DUF3843)","25; 25;","Family",410
"DUF3844","PF12955.10","Domain of unknown function (DUF3844)","27; 27;","Domain",106
"DUF3845","PF12956.10","Domain of Unknown Function with PDB structure","25; 25;","Family",240
"DUF3846","PF12957.10","Domain of unknown function (DUF3846)","27.5; 27.5;","Domain",91
"DUF3847","PF12958.10","Protein of unknown function (DUF3847)","40; 39;","Family",81
"DUF3848","PF12959.10","Protein of unknown function (DUF3848)","30; 30;","Domain",95
"DUF3849","PF12960.10","Protein of unknown function (DUF3849)","25; 25;","Domain",123
"DUF3850","PF12961.10","Domain of unknown function (DUF3850)","22.9; 22.9;","Domain",77
"DUF3851","PF12962.10","Protein of unknown function (DUF3851)","23; 23;","Family",126
"DUF3852","PF12963.10","Protein of unknown function (DUF3852)","25; 25;","Domain",108
"DUF3853","PF12964.10","Protein of unknown function (DUF3853)","22.1; 22.1;","Family",97
"DUF3854","PF12965.10","Domain of unknown function (DUF3854)","23; 23;","Domain",130
"DUF3855","PF12967.10","Domain of Unknown Function with PDB structure (DUF3855)","27; 27;","Family",158
"DUF3856","PF12968.10","Domain of Unknown Function (DUF3856)","27; 27;","Repeat",143
"DUF3857","PF12969.10","Domain of Unknown Function with PDB structure (DUF3857)","24.6; 24.6;","Family",166
"DUF3858","PF12970.10","Domain of Unknown Function with PDB structure (DUF3858)","27; 27;","Family",116
"DUF3859","PF12975.10","Domain of unknown function (DUF3859)","24; 24;","Domain",133
"DUF386","PF04074.15","YhcH/YjgK/YiaL","26.5; 26.5;","Domain",148
"DUF3860","PF12976.10","Domain of Unknown Function with PDB structure (DUF3860)","27; 27;","Family",92
"DUF3861","PF12977.10","Domain of Unknown Function with PDB structure (DUF3861)","27; 27;","Family",90
"DUF3862","PF12978.10","Domain of Unknown Function with PDB structure (DUF3862)","25; 25;","Family",159
"DUF3863","PF12979.10","Domain of Unknown Function with PDB structure (DUF3863)","27; 27;","Domain",349
"DUF3864","PF12980.10","Domain of Unknown Function with PDB structure (DUF3864)","27; 27;","Domain",80
"DUF3865","PF12981.10","Domain of Unknown Function with PDB structure (DUF3865)","31.6; 30.9;","Family",224
"DUF3866","PF12982.10","Protein of unknown function (DUF3866)","25; 25;","Family",319
"DUF3867","PF12983.10","Protein of unknown function (DUF3867)","27; 27;","Family",185
"DUF3868","PF12984.10","Domain of unknown function, B. Theta Gene description (DUF3868)","27; 27;","Family",109
"DUF3869","PF12985.10","Domain of unknown function (DUF3869)","24; 24;","Family",104
"DUF3870","PF12986.10","Domain of unknown function (DUF3870)","22; 22;","Family",94
"DUF3871","PF12987.10","Domain of unknown function, B. Theta Gene description (DUF3871)","27; 27;","Family",318
"DUF3873","PF12989.10","Domain of unknown function, B. Theta Gene description (DUF3873)","27; 27;","Family",68
"DUF3874","PF12990.10","Domain of unknonw function from B. Theta Gene description (DUF3874)","28.3; 28.3;","Family",71
"DUF3875","PF12991.10","Domain of unknown function, B. Theta Gene description (DUF3875)","27; 27;","Family",53
"DUF3876","PF12992.10","Domain of unknown function, B. Theta Gene description (DUF3876)","27.2; 27.2;","Family",91
"DUF3877","PF12993.10","Domain of unknown function, E. rectale Gene description (DUF3877)","27; 27;","Family",173
"DUF3878","PF12994.10","Domain of unknown function, E. rectale Gene description (DUF3878)","27; 27;","Family",300
"DUF3879","PF12995.10","Domain of unknown function, E. rectale Gene description (DUF3879)","27; 27;","Family",181
"DUF3880","PF12996.10","DUF based on E. rectale Gene description (DUF3880)","25.2; 25.2;","Family",78
"DUF3881","PF12997.10","Domain of unknown function, E. rectale Gene description (DUF3881)","27; 27;","Family",283
"DUF3882","PF07066.14","Lactococcus phage M3 protein","22.1; 22.1;","Family",159
"DUF3884","PF13024.9","Protein of unknown function (DUF3884)","21.7; 21.7;","Family",73
"DUF3885","PF13021.9","Domain of unknown function (DUF3885)","23; 23;","Family",38
"DUF3886","PF13025.9","Protein of unknown function (DUF3886)","25; 25;","Family",68
"DUF3887","PF13026.9","Protein of unknown function (DUF3887)","31.8; 31.8;","Domain",91
"DUF3888","PF13027.9","Protein of unknown function (DUF3888)","22.2; 21.8;","Family",88
"DUF3889","PF13028.9","Protein of unknown function (DUF3889)","25; 25;","Domain",94
"DUF389","PF04087.17","Domain of unknown function (DUF389)","22.7; 22.7;","Family",141
"DUF3890","PF13029.9","Domain of unknown function (DUF3890)","22.8; 22.8;","Family",84
"DUF3891","PF13030.9","Protein of unknown function (DUF3891)","24; 24;","Family",218
"DUF3892","PF13031.9","Protein of unknown function (DUF3892)","22.3; 22.3;","Family",76
"DUF3894","PF13033.9","Protein of unknown function (DUF3894)","25; 25;","Family",54
"DUF3895","PF13034.9","Protein of unknown function (DUF3895)","25; 25;","Family",76
"DUF3896","PF13035.9","Protein of unknown function (DUF3896)","25; 25;","Family",61
"DUF3898","PF13037.9","Domain of unknown function (DUF3898)","25; 25;","Family",90
"DUF3899","PF13038.9","Domain of unknown function (DUF3899)","23.4; 23.4;","Family",86
"DUF3900","PF13039.9","Protein of unknown function (DUF3900)","27; 27;","Family",253
"DUF3902","PF13042.9","Protein of unknown function (DUF3902)","25; 25;","Family",161
"DUF3903","PF13043.9","Domain of unknown function (DUF3903)","26.4; 26.4;","Family",40
"DUF3905","PF13045.9","Protein of unknown function (DUF3905)","27; 27;","Family",84
"DUF3906","PF13046.9","Protein of unknown function (DUF3906)","25; 25;","Family",64
"DUF3907","PF13047.9","Protein of unknown function (DUF3907)","27; 27;","Family",147
"DUF3908","PF13048.9","Protein of unknown function (DUF3908)","22.9; 22.8;","Family",131
"DUF3909","PF13077.9","Protein of unknown function (DUF3909)","25; 25;","Family",108
"DUF3910","PF13049.9","Protein of unknown function (DUF3910)","37.8; 37.8;","Family",95
"DUF3911","PF13050.9","Protein of unknown function (DUF3911)","25; 25;","Family",78
"DUF3912","PF13051.9","Protein of unknown function (DUF3912)","23.1; 23.1;","Family",84
"DUF3913","PF13052.9","Protein of unknown function (DUF3913)","25; 25;","Family",57
"DUF3914","PF13053.9","Protein of unknown function (DUF3914)","25; 25;","Family",89
"DUF3915","PF13054.9","Protein of unknown function (DUF3915)","26.9; 26.9;","Family",123
"DUF3916","PF13079.9","Protein of unknown function (DUF3916)","22.3; 22.3;","Family",151
"DUF3917","PF13055.9","Protein of unknown function (DUF3917)","25.1; 25.1;","Family",71
"DUF3918","PF13056.9","Protein of unknown function (DUF3918)","21.3; 21.3;","Family",43
"DUF3919","PF13057.9","Protein of unknown function (DUF3919)","25; 25;","Family",232
"DUF3920","PF13058.9","Protein of unknown function (DUF3920)","27.3; 27.3;","Family",126
"DUF3921","PF13060.9","Protein of unknown function (DUF3921)","25; 25;","Family",58
"DUF3922","PF13059.9","Protein of unknown function (DUF3992)","25; 25;","Family",79
"DUF3923","PF13061.9","Protein of unknown function (DUF3923)","25; 25;","Family",65
"DUF3924","PF13062.9","Protein of unknown function (DUF3924)","21; 21;","Domain",62
"DUF3925","PF13063.9","Protein of unknown function (DUF3925)","25; 25;","Family",65
"DUF3926","PF13080.9","Protein of unknown function (DUF3926)","26.4; 26.4;","Family",43
"DUF3927","PF13064.9","Protein of unknown function (DUF3927)","25; 25;","Family",53
"DUF3928","PF13065.9","Protein of unknown function (DUF3928)","100.6; 100.6;","Family",95
"DUF3929","PF13066.9","Protein of unknown function (DUF3929)","25; 25;","Family",64
"DUF3930","PF13067.9","Protein of unknown function (DUF3930)","25; 25;","Family",51
"DUF3931","PF13082.9","Protein of unknown function (DUF3931)","25; 25;","Family",66
"DUF3932","PF13068.9","Protein of unknown function (DUF3932)","95.9; 95.9;","Family",81
"DUF3933","PF13069.9","Protein of unknown function (DUF3933)","25; 25;","Family",52
"DUF3934","PF13070.9","Protein of unknown function (DUF3934)","25; 25;","Disordered",40
"DUF3935","PF13071.9","Protein of unknown function (DUF3935)","81; 81;","Family",70
"DUF3937","PF13073.9","Protein of unknown function (DUF3937)","22.5; 22.5;","Family",72
"DUF3938","PF13074.9","Protein of unknown function (DUF3938)","25; 25;","Family",98
"DUF3939","PF13075.9","Protein of unknown function (DUF3939)","21.3; 21.3;","Family",134
"DUF3941","PF13081.9","Domain of unknown function (DUF3941)","25; 25;","Family",24
"DUF3942","PF13078.9","Protein of unknown function (DUF3942)","25; 25;","Family",137
"DUF3943","PF13084.9","Domain of unknown function (DUF3943)","27; 27;","Domain",108
"DUF3944","PF13099.9","Domain of unknown function (DUF3944)","24; 24;","Domain",35
"DUF3945","PF13101.9","Protein of unknown function (DUF3945)","21.9; 11.1;","Family",59
"DUF3947","PF13135.9","Protein of unknown function (DUF3947)","25; 25;","Domain",82
"DUF3948","PF13134.9","Protein of unknown function (DUF3948)","25; 25;","Family",35
"DUF3949","PF13133.9","Protein of unknown function (DUF3949)","25; 25;","Family",60
"DUF3950","PF13132.9","Domain of unknown function (DUF3950)","25; 25;","Family",30
"DUF3951","PF13131.9","Protein of unknown function (DUF3951)","26.3; 26.3;","Family",52
"DUF3952","PF13130.9","Domain of unknown function (DUF3952)","25; 25;","Family",101
"DUF3953","PF13129.9","Protein of unknown function (DUF3953)","22; 22;","Family",41
"DUF3954","PF13128.9","Protein of unknown function (DUF3954)","23.7; 23.7;","Family",49
"DUF3955","PF13127.9","Protein of unknown function (DUF3955)","22; 22;","Family",59
"DUF3956","PF13104.9","Protein of unknown function (DUF3956)","22.3; 22.3;","Family",45
"DUF3958","PF13125.9","Protein of unknown function (DUF3958)","26.3; 26.3;","Family",107
"DUF3959","PF13105.9","Protein of unknown function (DUF3959)","25; 25;","Family",238
"DUF3960","PF13142.9","Domain of unknown function (DUF3960)","22.9; 22.9;","Family",89
"DUF3961","PF13106.9","Domain of unknown function (DUF3961)","25; 25;","Family",39
"DUF3963","PF13124.9","Protein of unknown function (DUF3963)","25; 25;","Family",40
"DUF3964","PF13107.9","Protein of unknown function (DUF3964)","27; 27;","Family",109
"DUF3965","PF13112.9","Protein of unknown function (DUF3965)","22.1; 22.1;","Family",291
"DUF3966","PF13110.9","Protein of unknown function (DUF3966)","25; 25;","Family",42
"DUF3967","PF13152.9","Protein of unknown function (DUF3967)","22; 22;","Family",33
"DUF3969","PF13108.9","Protein of unknown function (DUF3969)","25; 25;","Family",106
"DUF397","PF04149.15","Domain of unknown function (DUF397)","24; 24;","Domain",54
"DUF3970","PF13113.9","Protein of unknown function (DUF3970)","21.1; 21.1;","Family",55
"DUF3971","PF13116.9","Protein of unknown function","22.5; 22.5;","Family",289
"DUF3972","PF13118.9","Protein of unknown function (DUF3972)","26.2; 26.2;","Family",125
"DUF3973","PF13119.9","Domain of unknown function (DUF3973)","25; 25;","Family",40
"DUF3974","PF13120.9","Domain of unknown function (DUF3974)","25; 25;","Family",126
"DUF3975","PF13126.9","Protein of unknown function (DUF3975)","25; 25;","Family",80
"DUF3976","PF13121.9","Domain of unknown function (DUF3976)","25; 25;","Family",40
"DUF3977","PF13122.9","Protein of unknown function (DUF3977)","25; 25;","Family",77
"DUF3978","PF13123.9","Protein of unknown function (DUF3978)","25; 25;","Family",144
"DUF3979","PF13141.9","Protein of unknown function (DUF3979)","25; 25;","Family",115
"DUF3980","PF13140.9","Domain of unknown function (DUF3980)","25; 25;","Family",87
"DUF3981","PF13139.9","Domain of unknown function (DUF3981)","25; 25;","Family",115
"DUF3982","PF13138.9","Protein of unknown function (DUF3982)","19; 19;","Family",35
"DUF3983","PF13137.9","Protein of unknown function (DUF3983)","25; 25;","Family",34
"DUF3984","PF13136.9","Protein of unknown function (DUF3984)","22.1; 22.1;","Family",329
"DUF3985","PF13153.9","Protein of unknown function (DUF3985)","25; 25;","Family",44
"DUF3986","PF13143.9","Protein of unknown function (DUF3986)","20.5; 20.5;","Family",87
"DUF3987","PF13148.9","Protein of unknown function (DUF3987)","27; 27;","Family",366
"DUF3990","PF13151.9","Protein of unknown function (DUF3990)","32.2; 32.2;","Family",152
"DUF3991","PF13154.9","Protein of unknown function (DUF3991)","24.5; 24.5;","Family",76
"DUF3993","PF13158.9","Protein of unknown function (DUF3993)","22.4; 22.4;","Family",118
"DUF3994","PF13159.9","Domain of unknown function (DUF3994)","25; 25;","Family",99
"DUF3995","PF13160.9","Protein of unknown function (DUF3995)","34.3; 34.3;","Family",125
"DUF3996","PF13161.9","Protein of unknown function (DUF3996)","22; 22;","Family",154
"DUF3997","PF13162.9","Protein of unknown function (DUF3997)","25; 25;","Family",107
"DUF3999","PF13163.9","Protein of unknown function (DUF3999)","30; 30;","Family",426
"DUF4003","PF13170.9","Protein of unknown function (DUF4003)","28.1; 28.1;","Family",296
"DUF4004","PF13171.9","Protein of unknown function (DUF4004)","27; 27;","Family",197
"DUF4005","PF13178.9","Protein of unknown function (DUF4005)","22.1; 22.1;","Family",93
"DUF4006","PF13179.9","Family of unknown function (DUF4006)","22; 22;","Family",64
"DUF4007","PF13182.9","Protein of unknown function (DUF4007)","27; 27;","Family",287
"DUF401","PF04165.15","Protein of unknown function (DUF401)","24; 24;","Family",389
"DUF4010","PF13194.9","Domain of unknown function (DUF4010)","30; 30;","Domain",210
"DUF4011","PF13195.9","Protein of unknown function (DUF4011)","22.2; 22.2;","Family",162
"DUF4012","PF13196.9","Protein of unknown function (DUF4012)","28; 28;","Family",144
"DUF4013","PF13197.9","Protein of unknown function (DUF4013)","26.9; 26.9;","Family",169
"DUF4014","PF13198.9","Protein of unknown function (DUF4014)","23.2; 23.2;","Family",72
"DUF4015","PF13200.9","Putative glycosyl hydrolase domain","27; 27;","Domain",315
"DUF4017","PF13209.9","Protein of unknown function (DUF4017)","21.6; 21.6;","Family",60
"DUF4018","PF13210.9","Domain of unknown function (DUF4018)","25; 25;","Family",195
"DUF4019","PF13211.9","Protein of unknown function (DUF4019)","26.5; 26.5;","Family",104
"DUF402","PF04167.16","Protein of unknown function (DUF402)","23.9; 23.9;","Family",68
"DUF4020","PF13212.9","Domain of unknown function (DUF4020)","22.7; 22.7;","Family",174
"DUF4021","PF13213.9","Protein of unknown function (DUF4021)","25; 25;","Family",46
"DUF4022","PF13214.9","Protein of unknown function (DUF4022)","25; 25;","Family",77
"DUF4023","PF13215.9","Protein of unknown function (DUF4023)","25; 25;","Family",38
"DUF4024","PF13216.9","Protein of unknown function (DUF4024)","25; 25;","Family",35
"DUF4025","PF13217.9","Protein of unknown function (DUF4025)","25; 25;","Family",50
"DUF4026","PF13218.9","Protein of unknown function (DUF4026)","27; 27;","Family",323
"DUF4027","PF13219.9","Protein of unknown function (DUF4027)","25; 25;","Family",36
"DUF4028","PF13220.9","Protein of unknown function (DUF4028)","25; 25;","Family",65
"DUF4029","PF13221.9","Protein of unknown function (DUF4029)","25; 25;","Family",96
"DUF4030","PF13222.9","Protein of unknown function (DUF4030)","25.2; 25.2;","Family",142
"DUF4031","PF13223.9","Protein of unknown function (DUF4031)","25.6; 25.6;","Family",79
"DUF4032","PF13224.9","Domain of unknown function (DUF4032)","23.8; 23.8;","Family",163
"DUF4034","PF13226.9","Domain of unknown function (DUF4034)","21.3; 21.3;","Family",274
"DUF4035","PF13227.9","Protein of unknown function (DUF4035)","22.1; 22.1;","Family",55
"DUF4037","PF13228.9","Domain of unknown function (DUF4037)","22.1; 22.1;","Family",101
"DUF4038","PF13204.9","Protein of unknown function (DUF4038)","26.5; 26.5;","Family",306
"DUF4041","PF13250.9","Domain of unknown function (DUF4041)","27; 27;","Family",56
"DUF4042","PF13251.9","Domain of unknown function (DUF4042)","27; 27;","Repeat",182
"DUF4043","PF13252.9","Protein of unknown function (DUF4043)","23; 23;","Family",386
"DUF4044","PF13253.9","Protein of unknown function (DUF4044)","21.8; 21.8;","Family",33
"DUF4045","PF13254.9","Domain of unknown function (DUF4045)","23.4; 23.4;","Family",416
"DUF4046","PF13255.9","Protein of unknown function (DUF4046)","22.8; 22.8;","Family",90
"DUF4047","PF13256.9","Domain of unknown function (DUF4047)","22.1; 22.1;","Family",125
"DUF4048","PF13257.9","Domain of unknown function (DUF4048)","25; 25;","Family",256
"DUF4049","PF13258.9","Domain of unknown function (DUF4049)","25; 25;","Family",324
"DUF4050","PF13259.9","Protein of unknown function (DUF4050)","22.8; 22.8;","Family",183
"DUF4052","PF13261.9","Protein of unknown function (DUF4052)","25; 25;","Family",217
"DUF4054","PF13262.9","Protein of unknown function (DUF4054)","23.9; 23.9;","Family",105
"DUF4055","PF13264.9","Domain of unknown function (DUF4055)","25; 25;","Family",135
"DUF4056","PF13265.9","Protein of unknown function (DUF4056)","23.6; 23.6;","Family",266
"DUF4057","PF13266.9","Protein of unknown function (DUF4057)","23; 23;","Family",299
"DUF4058","PF13267.9","Protein of unknown function (DUF4058)","25; 25;","Family",254
"DUF4059","PF13268.9","Protein of unknown function (DUF4059)","25; 25;","Family",72
"DUF406","PF04175.15","Protein of unknown function (DUF406)","25; 25;","Family",92
"DUF4060","PF13269.9","Protein of unknown function (DUF4060)","21; 21;","Family",74
"DUF4062","PF13271.9","Domain of unknown function (DUF4062)","24.7; 24.7;","Family",83
"DUF4064","PF13273.9","Protein of unknown function (DUF4064)","32.1; 32.1;","Family",103
"DUF4065","PF13274.9","Protein of unknown function (DUF4065)","25.7; 25.7;","Family",114
"DUF4070","PF13282.9","Domain of unknown function (DUF4070)","22; 22;","Domain",140
"DUF4072","PF13284.9","Domain of unknown function (DUF4072)","24.6; 24.6;","Family",46
"DUF4073","PF13285.9","Domain of unknown function (DUF4073)","28.8; 28.8;","Family",157
"DUF4074","PF13293.9","Domain of unknown function (DUF4074)","22.3; 22.3;","Family",63
"DUF4075","PF13294.9","Domain of unknown function (DUF4075)","25; 25;","Family",79
"DUF4077","PF13295.9","Domain of unknown function (DUF4077)","25; 25;","Family",176
"DUF4078","PF13300.9","Domain of unknown function (DUF4078)","25; 25;","Family",86
"DUF4079","PF13301.9","Protein of unknown function (DUF4079)","31.4; 31.4;","Family",141
